,top100producturl,price,title,description,productinformation,countreview,weightvalue,weightmeasure,longestest,shortest,median
10,https://www.amazon.com/dp/B07X5J7JGS/ref=sspa_dk_detail_6?psc=1&pd_rd_i=B07X5J7JGS&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyVVNGQ0I5WkUwV05JJmVuY3J5cHRlZElkPUEwOTQ3NzE1MkdJOVRRTkJWNzRHWCZlbmNyeXB0ZWRBZElkPUEwMzk4MDQ5MUJOTFNXUVc3SlVUJndpZGdldE5hbWU9c3BfZGV0YWlsJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,43.97,"One-Step Hair Dryer and Volumizer, Detachable Hair Dryer Brush, 3 in 1 Hot Air Brush with Negative Ion Curling Dryer Brush, Straightening Brush, Dryer Style",,NA,976.0,1.0,ounce,2.0,2.0,2.0
11,https://www.amazon.com/dp/B07VVN828G/ref=sspa_dk_detail_7?psc=1&pd_rd_i=B07VVN828G&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyVVNGQ0I5WkUwV05JJmVuY3J5cHRlZElkPUEwOTQ3NzE1MkdJOVRRTkJWNzRHWCZlbmNyeXB0ZWRBZElkPUEwNTM2NTk4VDVQWDc0QkJWM0Y5JndpZGdldE5hbWU9c3BfZGV0YWlsJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,39.95,"Estilios Hot Air Brush and Professional Volumizer, Salon Styling Straightener with Ionic Hydration, Helps Straighten Dry, Shine, Manageability",,NA,976.0,1.0,ounce,2.0,2.0,2.0
12,https://www.amazon.com/dp/B07L1L3HZT/ref=sspa_dk_detail_2?psc=1&pd_rd_i=B07L1L3HZT&pd_rd_w=MN0CP&pf_rd_p=45a72588-80f7-4414-9851-786f6c16d42b&pd_rd_wg=8CE07&pf_rd_r=EQVPZZFJYAKYSZX3EWS3&pd_rd_r=9288aa57-db69-473c-b600-d92f96af68ba&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExVDVTN0JFSDdTR1RaJmVuY3J5cHRlZElkPUEwODkwMjIwMlI2MUQ2VE9UMkFaRSZlbmNyeXB0ZWRBZElkPUEwMTEyNzA2MUEyVzhORlY5RU9FVyZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,29.99,Retainer Brite Cleaning Foam - Cleans Invisalign and Retainers While Whitens Your Teeth,,NA,970.0,1.0,ounce,2.0,2.0,2.0
13,https://www.amazon.com/dp/B07HB1XNW3/ref=sspa_dk_detail_3?psc=1&pd_rd_i=B07HB1XNW3&pd_rd_w=MN0CP&pf_rd_p=45a72588-80f7-4414-9851-786f6c16d42b&pd_rd_wg=8CE07&pf_rd_r=EQVPZZFJYAKYSZX3EWS3&pd_rd_r=9288aa57-db69-473c-b600-d92f96af68ba&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExVDVTN0JFSDdTR1RaJmVuY3J5cHRlZElkPUEwODkwMjIwMlI2MUQ2VE9UMkFaRSZlbmNyeXB0ZWRBZElkPUEwNjUzMTAyMzVSQzk5RUdQQzlQOCZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,25.96,"Crest 3D White Diamond Strong Mouthwash, 473 Ml, 4 Count",,"Product details
Flavor: Clean Mint | Size: Pack of 4
Product Dimensions: 2.4 x 5.2 x 8.8 inches ; 1.06 pounds
Shipping Weight: 5.2 pounds (View shipping rates and policies)
Domestic Shipping: Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.
International Shipping: This item can be shipped to select countries outside of the U.S. Learn More
ASIN: B07HB1XNW3
Average Customer Review:
50 customer reviews
Amazon Best Sellers Rank: #26,471 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#132 in Mouthwashes
Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service.
Would you like to tell us about a lower price?",970.0,1.0,ounce,5.2,2.4,4.000000000000001
14,https://www.amazon.com/dp/B07WH2ST51/ref=sspa_dk_detail_8?psc=1&pd_rd_i=B07WH2ST51&pd_rd_w=MN0CP&pf_rd_p=45a72588-80f7-4414-9851-786f6c16d42b&pd_rd_wg=8CE07&pf_rd_r=EQVPZZFJYAKYSZX3EWS3&pd_rd_r=9288aa57-db69-473c-b600-d92f96af68ba&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExVDVTN0JFSDdTR1RaJmVuY3J5cHRlZElkPUEwODkwMjIwMlI2MUQ2VE9UMkFaRSZlbmNyeXB0ZWRBZElkPUEwMTI3Mzk4VENYTVA2RzBWVjVCJndpZGdldE5hbWU9c3BfZGV0YWlsJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,25.99,"Teeth Whitening Kit Professional, Teeth Whitening Strips, Non-Sensitive Stain Remover for White Teeth, Led Accelerator Light,10 of 3 ml Tooth Whiten Gel,15 Min Express Result",,NA,970.0,1.0,ounce,2.0,2.0,2.0
15,https://www.amazon.com/dp/B07H9PXW4R/ref=sspa_dk_detail_10?psc=1&pd_rd_i=B07H9PXW4R&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFJOFBRQVQ3VlQ0N1ImZW5jcnlwdGVkSWQ9QTA1MTcxNDYzRVREQ1ZQV0NOODVQJmVuY3J5cHRlZEFkSWQ9QTAzNjQ5OTBYOUlYVkFORFhGMyZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,25.15,"Crest Moisturizing Alcohol Free Mouthwash, Vivid White, Alcohol Free (Pack of 4)",,"Product details
Flavor: Sparkle Mint | Size: Pack of 4
Product Dimensions: 2.4 x 5.2 x 8.8 inches ; 1.09 pounds
Shipping Weight: 5.2 pounds (View shipping rates and policies)
Domestic Shipping: Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.
International Shipping: This item can be shipped to select countries outside of the U.S. Learn More
ASIN: B07H9PXW4R
Average Customer Review:
50 customer reviews
Amazon Best Sellers Rank: #138,770 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#532 in Mouthwashes
Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service.
Would you like to tell us about a lower price?",970.0,1.0,ounce,5.2,2.4,4.000000000000001
16,https://www.amazon.com/dp/B07XWH6DQD/ref=sspa_dk_detail_3?psc=1&pd_rd_i=B07XWH6DQD&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzSTdPVUgzTEZKRjNPJmVuY3J5cHRlZElkPUEwODA0MDMzMlNDVUc5Rjk5OUtWSyZlbmNyeXB0ZWRBZElkPUEwMDAxNjUxMkExRE4yWVpMTVo2VyZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,26.99,"Bath Bombs for Kids with Surprise SQUISHY Toys and NECKLACES Inside, Kids Bath Bombs for Girls/Boys/Women/Christmas, 6 XL Lush Bubble Bath Bomb Kit, Gift Set, Handmade with Shea Butter, Kid safe",,NA,6.0,1.0,ounce,2.0,2.0,2.0
17,https://www.amazon.com/dp/B07X6623K6/ref=sspa_dk_detail_7?psc=1&pd_rd_i=B07X6623K6&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzSTdPVUgzTEZKRjNPJmVuY3J5cHRlZElkPUEwODA0MDMzMlNDVUc5Rjk5OUtWSyZlbmNyeXB0ZWRBZElkPUEwOTQ2NjI5MU0wMTIyWk1NRzFSNiZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,27.0,Bath Bombs with Surprise Toys Inside for Kids - Bath Bombs For Kids with TOYS INSIDE - Handmade 6 Gift Set - Kids Bath Bombs with Toys Inside - Kid Fizzies - Natural INGREDIENTS,,NA,6.0,1.0,ounce,2.0,2.0,2.0
18,https://www.amazon.com/dp/B00L4KH742/ref=sspa_dk_detail_8?psc=1&pd_rd_i=B00L4KH742&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExQVRSRzVERERaS01IJmVuY3J5cHRlZElkPUEwODEzMDM5RExPRE1QNFlMMldQJmVuY3J5cHRlZEFkSWQ9QTA3OTEyNjUyR0hUUDBNRzdBQkdFJndpZGdldE5hbWU9c3BfZGV0YWlsJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,47.99,Beeswax Lip Balm - 120 per Pack,Beeswax Lip Balm - 120 per Pack,NA,32.0,1.0,ounce,2.0,2.0,2.0
19,https://www.amazon.com/dp/B07HZ4WR5F/ref=sspa_dk_detail_8?psc=1&pd_rd_i=B07HZ4WR5F&pd_rd_w=h7kyr&pf_rd_p=45a72588-80f7-4414-9851-786f6c16d42b&pd_rd_wg=X9ALo&pf_rd_r=849MWTB2XNQ6AN8213N8&pd_rd_r=c5a2138b-1ca5-41ed-9699-1fde8d7f53c9&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyRUQ4TUtDSVoxRVdSJmVuY3J5cHRlZElkPUEwOTMyMDA1MlRPRjhNQ0ZCNTFHTSZlbmNyeXB0ZWRBZElkPUEwMDkxNTI3WDY4WUhJVjM0S1NFJndpZGdldE5hbWU9c3BfZGV0YWlsJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,24.95,"Top 3 Essential Oil Blends Kit | Sleep 15mL, Muscle 15mL, Defense 15mL | Includes Our Most Popular Full-Strength Blends",,NA,37.0,1.0,ounce,2.0,2.0,2.0
